trade_id,strategy,action,entry_price,exit_price,pnl,pnl_points,pnl_percent,duration_minutes,exit_reason,risk_pct,risk_reward,market_regime,volatility_regime,confidence,entry_data,exit_data
1,trend_following,BUY,12324.45,12334.45,750.0,10.0,0.08113952346757868,1200.0,STOP_LOSS,1.18125,2.5,TRENDING,LOW,0.8,"{'price': 12324.45, 'rsi': 43.310900840764404, 'macd': 4.136855675211336, 'atr_pct': 0.08673235490659476, 'bb_position': 0.07379462444543232, 'ema_distance': 0.01634662662902678, 'trend_strength': 0.428264318086477, 'hour': 13, 'day_of_week': 1}","{'price': 12301.0, 'rsi': 38.041455470570824, 'macd': -0.7940991241994197, 'atr_pct': 0.13079656706191028, 'bb_position': 0.006330596218815327, 'ema_distance': 0.035331118170588684, 'trend_strength': 0.34506237748282736, 'hour': 9, 'day_of_week': 2}"
2,trend_following,SELL,12312.8,12315.5,-202.50000000005457,-2.7000000000007276,-0.02192839971412455,45.0,STOP_LOSS,1.1166253101736971,2.5,TRENDING,LOW,0.8,"{'price': 12312.8, 'rsi': 59.67916656554653, 'macd': -7.400690140088045, 'atr_pct': 0.10253557273731612, 'bb_position': 1.017675868002596, 'ema_distance': 0.047164363345886015, 'trend_strength': 0.31080965339775896, 'hour': 14, 'day_of_week': 2}","{'price': 12348.8, 'rsi': 68.7672330109093, 'macd': -0.3355887744601205, 'atr_pct': 0.12048596971828338, 'bb_position': 1.3512712514144232, 'ema_distance': 0.025862619188453687, 'trend_strength': 0.23427065522888424, 'hour': 15, 'day_of_week': 2}"
3,trend_following,SELL,12308.9,12318.3,-704.9999999999727,-9.399999999999636,-0.07636750643842778,30.0,STOP_LOSS,1.1166253101736971,2.5,NEUTRAL,LOW,0.8,"{'price': 12308.9, 'rsi': 52.93689224375603, 'macd': -5.984624279130003, 'atr_pct': 0.10506335137293289, 'bb_position': 0.8696710440708534, 'ema_distance': 0.03247105472638547, 'trend_strength': 0.2892427532230818, 'hour': 14, 'day_of_week': 2}","{'price': 12348.8, 'rsi': 68.7672330109093, 'macd': -0.3355887744601205, 'atr_pct': 0.12048596971828338, 'bb_position': 1.3512712514144232, 'ema_distance': 0.025862619188453687, 'trend_strength': 0.23427065522888424, 'hour': 15, 'day_of_week': 2}"
4,trend_following,SELL,12038.7,12046.28608823594,-568.9566176954486,-7.5860882359393145,-0.06301418123168875,1125.0,STOP_LOSS,1.1267746701054162,2.5,TRENDING,LOW,0.8,"{'price': 12038.7, 'rsi': 63.07294061375302, 'macd': -12.105301276402315, 'atr_pct': 0.12973042889063485, 'bb_position': 1.085318703026616, 'ema_distance': 0.06609823788351375, 'trend_strength': 0.534373064103404, 'hour': 15, 'day_of_week': 0}","{'price': 12164.25, 'rsi': 83.87118086153392, 'macd': 17.729860132383692, 'atr_pct': 0.18734641029480373, 'bb_position': 1.1395637936823562, 'ema_distance': 0.23219293133829788, 'trend_strength': 0.4022562565528181, 'hour': 9, 'day_of_week': 1}"
5,trend_following,SELL,12031.5,12045.706241638452,-1065.4681228839308,-14.206241638452411,-0.11807539906455895,1110.0,STOP_LOSS,1.1267746701054162,2.5,TRENDING,LOW,0.8,"{'price': 12031.5, 'rsi': 52.42242878471324, 'macd': -10.133696139233507, 'atr_pct': 0.12416810633990298, 'bb_position': 0.8603023022000503, 'ema_distance': 0.04718483735559806, 'trend_strength': 0.5163144785554541, 'hour': 15, 'day_of_week': 0}","{'price': 12164.25, 'rsi': 83.87118086153392, 'macd': 17.729860132383692, 'atr_pct': 0.18734641029480373, 'bb_position': 1.1395637936823562, 'ema_distance': 0.23219293133829788, 'trend_strength': 0.4022562565528181, 'hour': 9, 'day_of_week': 1}"
6,trend_following,SELL,12162.3,12177.8,-1162.5,-15.5,-0.1274430000904434,1155.0,STOP_LOSS,1.183711214102516,2.5,TRENDING,LOW,0.8,"{'price': 12162.3, 'rsi': 49.88760441505192, 'macd': -6.667829009606066, 'atr_pct': 0.08480538807861744, 'bb_position': 0.8187723882706394, 'ema_distance': 0.04367152458987008, 'trend_strength': 0.48600130953389986, 'hour': 14, 'day_of_week': 3}","{'price': 12211.2, 'rsi': 68.61691829366944, 'macd': 10.748379395388838, 'atr_pct': 0.14992091569332092, 'bb_position': 0.9078168646659265, 'ema_distance': 0.12485799874229209, 'trend_strength': 0.33927435038114184, 'hour': 9, 'day_of_week': 4}"
7,trend_following,SELL,12174.75,12176.3,-116.24999999994543,-1.5499999999992724,-0.012731267582490583,1125.0,STOP_LOSS,1.1455269813895317,2.5,TRENDING,LOW,0.8,"{'price': 12174.75, 'rsi': 61.27682458272831, 'macd': -4.05278038621509, 'atr_pct': 0.09921001604608985, 'bb_position': 1.1728529217143124, 'ema_distance': 0.01625540864057523, 'trend_strength': 0.47663271144611985, 'hour': 15, 'day_of_week': 3}","{'price': 12211.2, 'rsi': 68.61691829366944, 'macd': 10.748379395388838, 'atr_pct': 0.14992091569332092, 'bb_position': 0.9078168646659265, 'ema_distance': 0.12485799874229209, 'trend_strength': 0.33927435038114184, 'hour': 9, 'day_of_week': 4}"
8,trend_following,SELL,12000.9,12002.413517762932,-113.51383221995093,-1.513517762932679,-0.012611702146777985,1125.0,STOP_LOSS,1.16063946281382,2.5,TRENDING,LOW,0.8,"{'price': 12000.9, 'rsi': 68.6713389138363, 'macd': -13.782026984736149, 'atr_pct': 0.1498697121525394, 'bb_position': 1.2823519738376257, 'ema_distance': 0.03184419972284822, 'trend_strength': 0.5274594611126759, 'hour': 15, 'day_of_week': 1}","{'price': 12074.3, 'rsi': 72.92519306433688, 'macd': 18.648961219096236, 'atr_pct': 0.25369704957755523, 'bb_position': 0.9569016131926747, 'ema_distance': 0.2603245864221739, 'trend_strength': 0.29597294537662494, 'hour': 9, 'day_of_week': 2}"
9,trend_following,BUY,12105.35,12101.914312194354,-257.6765854234509,-3.435687805646012,-0.02838156522236872,15.0,STOP_LOSS,1.1620002801359859,2.5,NEUTRAL,LOW,0.8,"{'price': 12105.35, 'rsi': 39.100815094253235, 'macd': 4.961712166277721, 'atr_pct': 0.11343862719494155, 'bb_position': -0.017181846609969964, 'ema_distance': 0.0014216013567107284, 'trend_strength': 0.2778286155322664, 'hour': 14, 'day_of_week': 3}","{'price': 12086.8, 'rsi': 30.79475715052493, 'macd': 1.5544009909554006, 'atr_pct': 0.12416142285090143, 'bb_position': -0.19779606354383505, 'ema_distance': 0.031731744310067915, 'trend_strength': 0.3076567302013538, 'hour': 14, 'day_of_week': 3}"
10,trend_following,BUY,11384.8,11375.65,-686.2499999999727,-9.149999999999636,-0.0803703183191592,15.0,STOP_LOSS,1.165101212697879,2.5,TRENDING,LOW,0.8,"{'price': 11384.8, 'rsi': 42.7143382086188, 'macd': 8.380823028770465, 'atr_pct': 0.12554333095756542, 'bb_position': 0.13936042188017586, 'ema_distance': 0.05396568857083267, 'trend_strength': 0.46141084597066645, 'hour': 14, 'day_of_week': 4}","{'price': 11369.05, 'rsi': 43.607394858389085, 'macd': 5.759941461978087, 'atr_pct': 0.12634552327842125, 'bb_position': -0.2132916405598414, 'ema_distance': 0.02437758740553686, 'trend_strength': 0.5100007206457662, 'hour': 15, 'day_of_week': 4}"
