signal_id,timestamp,signal_action,signal_type,signal_price,status,skip_reason,consecutive_losses,win_streak,current_capital,has_open_position,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
1,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,0,1000000.0,False,,,,,,,,,,,,,,,,,,,,,,,,
2,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,0,1000000.0,False,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-01-03 13:25:00,SELL,SELL_MODERATE,12227.6,GENERATED,,0,0,1000000.0,False,12225.85,12227.95,12225.2,12227.6,0.0,12229.722960894502,12231.21304891243,12230.516078898247,31.37891504263679,-0.6335940371991455,0.3605476427955354,-0.994141679994681,6.113458333333333,0.0011540619028422858,-1.4900880179284286,-0.00023842648007943446,0.013904906796224914,13.0,25.0,4.0,False,0.0,0.0,1000000.0
4,2020-01-03 13:25:00,SELL,SELL_MODERATE,12227.6,EXECUTED,,0,0,1000000.0,True,12225.85,12227.95,12225.2,12227.6,0.0,12229.722960894502,12231.21304891243,12230.516078898247,31.37891504263679,-0.6335940371991455,0.3605476427955354,-0.994141679994681,6.113458333333333,0.0011540619028422858,-1.4900880179284286,-0.00023842648007943446,0.013904906796224914,13.0,25.0,4.0,False,0.0,0.0,1000000.0
5,2020-01-03 14:10:00,SELL,SELL_MODERATE,12219.2,GENERATED,,0,1,1003149.9999999999,False,12220.85,12220.85,12218.75,12219.2,0.0,12219.260666468432,12221.49310691607,12224.352391642167,36.28093834895447,-2.1102827191443794,-1.823396873615983,-0.28688584552839647,6.1098,0.0011339334949141669,-2.23244044763851,-0.0004214858568449831,-0.012274255975519566,14.0,10.0,4.0,False,0.0,1.0,1003149.9999999999
6,2020-01-03 14:10:00,SELL,SELL_MODERATE,12219.2,EXECUTED,,0,1,1003149.9999999999,True,12220.85,12220.85,12218.75,12219.2,0.0,12219.260666468432,12221.49310691607,12224.352391642167,36.28093834895447,-2.1102827191443794,-1.823396873615983,-0.28688584552839647,6.1098,0.0011339334949141669,-2.23244044763851,-0.0004214858568449831,-0.012274255975519566,14.0,10.0,4.0,False,0.0,1.0,1003149.9999999999
7,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,1011606.2500000003,False,,,,,,,,,,,,,,,,,,,,,,,,
8,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,1011606.2500000003,False,,,,,,,,,,,,,,,,,,,,,,,,
9,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,1011606.2500000003,False,,,,,,,,,,,,,,,,,,,,,,,,
10,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,2,1011606.2500000003,False,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-01-03 14:59:00,SELL,SELL_MODERATE,12197.1,GENERATED,,0,2,1011606.2500000003,False,12193.7,12197.1,12193.15,12197.1,0.0,12196.413361753952,12200.860235123058,12207.573677096869,35.00673335254159,-4.519140845264701,-4.320970643368861,-0.19817020189583978,6.0978916666666665,0.0020677966227314773,-4.44687336910647,-0.0008579655035396705,0.0303442846129931,14.0,59.0,4.0,False,0.0,2.0,1011606.2500000003
12,2020-01-03 14:59:00,SELL,SELL_MODERATE,12197.1,EXECUTED,,0,2,1011606.2500000003,True,12193.7,12197.1,12193.15,12197.1,0.0,12196.413361753952,12200.860235123058,12207.573677096869,35.00673335254159,-4.519140845264701,-4.320970643368861,-0.19817020189583978,6.0978916666666665,0.0020677966227314773,-4.44687336910647,-0.0008579655035396705,0.0303442846129931,14.0,59.0,4.0,False,0.0,2.0,1011606.2500000003
13,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,1005962.5000000006,False,,,,,,,,,,,,,,,,,,,,,,,,
14,,NO_SIGNAL,,0.0,NO_SIGNAL,,1,0,1005962.5000000006,False,,,,,,,,,,,,,,,,,,,,,,,,
